Dia;Tratamento;Repeti‡Æo;Numero_neonatos;Numero_neonatos_somados;Numero_ovos;Numeros_ovos_somados;Comprimento
5;0,04;R9;0;0;0;1;0,54
6;0,04;R9;1;1;0;1;0,58
7;0,04;R9;0;1;0;1;0,58
8;0,04;R9;0;1;0;1;0,58
0;0,04;R10;0;0;0;0;0,31
1;0,04;R10;0;0;0;0;0,42
2;0,04;R10;0;0;0;0;0,52
3;0,04;R10;0;0;3;3;0,6
4;0,04;R10;0;0;0;3;0,6
5;0,04;R10;2;2;6;9;0,67
6;0,04;R10;6;8;0;9;0,66
7;0,04;R10;0;8;6;15;0,67
8;0,04;R10;2;10;0;15;0,67
0;0,09;R1;0;0;0;0;0,33
1;0,09;R1;0;0;0;0;0,42
2;0,09;R1;0;0;0;0;0,51
3;0,09;R1;0;0;4;4;0,61
4;0,09;R1;0;0;0;4;0,61
5;0,09;R1;3;3;5;9;0,66
6;0,09;R1;0;3;0;9;0,67
7;0,09;R1;5;8;4;13;0,69
8;0,09;R1;0;8;0;13;0,7
0;0,09;R2;0;0;0;0;0,34
1;0,09;R2;0;0;0;0;0,42
2;0,09;R2;0;0;0;0;0,52
3;0,09;R2;0;0;4;4;0,6
4;0,09;R2;0;0;0;4;0,6
5;0,09;R2;3;3;6;10;0,67
6;0,09;R2;0;3;0;10;0,67
7;0,09;R2;6;9;3;13;0,69
8;0,09;R2;0;9;0;13;0,7
0;0,09;R3;0;0;0;0;0,34
1;0,09;R3;0;0;0;0;0,39
2;0,09;R3;0;0;0;0;0,54
3;0,09;R3;0;0;3;3;0,61
4;0,09;R3;3;3;5;8;0,67
5;0,09;R3;0;3;0;8;0,67
6;0,09;R3;0;3;0;8;Morta
7;0,09;R3;0;3;0;8;Morta
8;0,09;R3;0;3;0;8;Morta
0;0,09;R4;0;0;0;0;0,33
1;0,09;R4;0;0;0;0;0,42
2;0,09;R4;0;0;0;0;0,52
3;0,09;R4;0;0;3;3;0,6
4;0,09;R4;0;0;0;3;0,6
5;0,09;R4;3;3;5;8;0,66
6;0,09;R4;5;8;3;11;0,66
7;0,09;R4;0;8;0;11;0,66
8;0,09;R4;5;13;0;11;0,67
0;0,09;R5;0;0;0;0;0,34
1;0,09;R5;0;0;0;0;0,43
2;0,09;R5;0;0;0;0;0,48
3;0,09;R5;0;0;3;3;0,48
4;0,09;R5;3;3;5;8;0,65
5;0,09;R5;0;3;4;12;0,67
6;0,09;R5;5;8;2;14;0,72
7;0,09;R5;0;8;0;14;0,72
8;0,09;R5;0;8;5;19;0,72
0;0,09;R6;0;0;0;0;0,31
1;0,09;R6;0;0;0;0;0,42
2;0,09;R6;0;0;0;0;0,52
3;0,09;R6;0;0;4;4;0,6
4;0,09;R6;0;0;0;4;0,6
5;0,09;R6;4;4;5;9;0,6
6;0,09;R6;5;9;2;11;0,66
7;0,09;R6;0;9;0;11;0,69
8;0,09;R6;5;14;5;16;0,72
0;0,09;R7;0;0;0;0;0,31
1;0,09;R7;0;0;0;0;0,4
2;0,09;R7;0;0;0;0;0,51
3;0,09;R7;0;0;3;3;0,57
4;0,09;R7;0;0;0;3;0,6
5;0,09;R7;3;3;5;8;0,64
6;0,09;R7;5;8;2;10;0,67
7;0,09;R7;0;8;0;10;0,67
